CODE	Label - English	Label - French	Label - German	Standard code	Note (EN only)	EC_corporate_code	EC_corporate_uri
F5OP_ASS	Net acquisition (+) of financial assets - equity and investment fund shares/units other than portfolio investments	Acquisition nette (+) d'actifs financiers - actions et parts de fonds d'investissement, autres que les investissements de portefeuille	Nettozugang (+) an Forderungen - Anteilsrechte und Anteile an Investmentfonds außer Portfolioinvestitionen				
F5OP_ACQ_ASS	Net acquisition (+) of financial assets - equity and investment fund shares/units other than portfolio investments; acquisition/increase (+)	Acquisition nette (+) d'actifs financiers - actions et parts de fonds d'investissement, autres que les investissements de portefeuille; acquisition/augmentation (+)	Nettozugang (+) an Forderungen - Anteilsrechte und Anteile an Investmentfonds außer Portfolioinvestitionen; Erwerb/Anstieg (+)				
F5OP_DIS_ASS	Net acquisition (+) of financial assets - equity and investment fund shares/units other than portfolio investments; disposal/reduction (-)	Acquisition nette (+) d'actifs financiers - actions et parts de fonds d'investissement, autres que les investissements de portefeuille; cession (-)/réduction	Nettozugang (+) an Forderungen - Anteilsrechte und Anteile an Investmentfonds außer Portfolioinvestitionen; Veräußerung/Rückgang (-)				
F71_ASS	Net acquisition (+) of financial assets - financial derivatives	Acquisition nette (+) d'actifs financiers - produits financiers dérivés	Nettozugang (+) an Forderungen - Finanzderivate				
F8_ASS	Net acquisition (+) of financial assets - other accounts receivable (+)	Acquisition nette (+) d'actifs financiers - autres comptes à recevoir (+)	Nettozugang (+) an Forderungen - sonstige Forderungen (+)				
FN_ASS	Net acquisition (+) of financial assets - other financial assets (F.1, F.6)	Acquisition nette (+) d'actifs financiers - autres actifs financiers (F.1, F.6)	Nettozugang (+) an Forderungen - sonstige Forderungen (F.1, F.6)				
ORADJ	Total adjustments	Total des ajustements	Korrekturen insgesamt				
F71_ADJ_LIAB	Adjustments: net incurrence (-) of liabilities in financial derivatives	Ajustements: accroissement net (-) des passifs en produits dérivés financiers	Korrekturen: Nettozugang (-) an Verbindlichkeiten aus Finanzderivaten				
F8_ADJ_LIAB	Adjustments: net incurrence (-) of other accounts payable	Ajustements: accroissement net (-) des autres comptes à payer	Korrekturen: Nettozugang (-) an sonstigen Verbindlichkeiten				
FV_ADJ_LIAB	Adjustments: net incurrence (-) of other liabilities (F.1, F.5, F.6  and F.72)	Ajustements: accroissement net (-) des autres passifs (F.1, F.5, F.6  and F.72)	Korrekturen: Nettozugang (-) an sonstigen Verbindlichkeiten (F.1, F.5, F.6  and F.72)				
ORINV	Adjustments: issuances above (-)/below (+) nominal value	Ajustements: émission au dessus (-)/en dessous (+) de la valeur nominale	Korrekturen: Emissionen über (-)/unter Pari (+)				
ORD41A_ADJ	Adjustments: difference between interest expenditure (D.41) accrued (-) and paid (+)	Ajustements: différence entre dépense d'intérêts (D41) courus (-) et intérêts payés (+)	Korrekturen: Differenz zwischen aufgelaufenen Zinsaufwendungen (D.41) und gezahlten Zinsen (+)				
ORRNV	Adjustments: redemptions/repurchase of debt above (+)/below (-) nominal value	Ajustements: rachat de dette au dessus (+)/en dessous (-) de la valeur nominale	Korrekturen: Tilgung/Rückkauf von Verbindlichkeiten über (+)/unter (-) Pari				
ORFCD	Adjustments: appreciation (+)/depreciation (-) of foreign currency debt	Ajustements: appréciation (+)/dépréciation (-) de dette en monnaie étrangère	Korrekturen: Aufwertung (+)/Abwertung (-) von Fremdwährungsschulden				
K61	Changes in sector classification and structure (+/-)	Changements de classement sectoriel ou de structure des unités institutionnelles (+/-)	Korrekturen: Änderung der Sektorzuordnung und der institutionellen Einheiten (+/-)				
KX	Adjustments: other volume changes in financial liabilities (-)	Ajustements: autres changements de volumes des passifs financiers (-)	Korrekturen: Sonstige Volumenänderungen an Verbindlichkeiten (-)				
YA3	Total statistical discrepancies	Ecart statistique total	Statistische Diskrepanzen insgesamt				
YA3O	Statistical discrepancies: other statistical discrepancies (+/-)	Ecart statistique: autres écarts (+/-)	Statistische Diskrepanzen: sonstige statistische Diskrepanzen (+/-)				
GD_CH	Change in consolidated gross debt	Variation de la dette brute consolidée	Veränderung des Bruttoschuldenstands (konsolidiert)				
GD_CTB	Subsector contribution to general government gross debt	Contribution à la dette brute des administrations publiques	Beitrag zum öffentlichen Bruttoschuldenstand (absoluter Wert)				
GD_HOLD	Holdings of other subsectors' debt	Montant de la dette détenue sur les autres sous-secteurs des administrations publiques	Forderungen an Schuldenstandsinstrumenten gegenüber anderen Teilsektoren des Staates				
FGT	Total stock of government guarantees	Encours total des garanties accordées par les administrations publiques	Gesamter Bestand an Garantien des Staatssektors				
FGO_T	One-off guarantees - total stock of guarantees, excluding debt assumed by government	Garanties ponctuelles - encours total des garanties, hors dettes reprises par les administrations publiques	Einmalige Bürgschaften - gesamter Bestand an Garantien des Staatssektors, mit Ausnahme von Schulden, die vom Staatssektor übernommen wurden				
FGO_PC	One-off guarantees - total stock of guarantees, excluding debt assumed by government, of which: public corporations	Garanties ponctuelles - encours total des garanties, hors dettes reprises par les administrations publiques, dont société publiques	Einmalige Bürgschaften - gesamter Bestand an Garantien des Staatssektors, mit Ausnahme von Schulden, die vom Staatssektor übernommen wurden: davon: öffentliche Kapitalgesellschaften				
FGO_FC	One-off guarantees - total stock of guarantees, excluding debt assumed by government, memo item: financial corporations	Garanties ponctuelles - encours total des garanties, hors dettes reprises par les administrations publiques, pour mémoire: sociétés financières	Einmalige Bürgschaften - gesamter Bestand an Garantien des Staatssektors, mit Ausnahme von Schulden, die vom Staatssektor übernommen wurden: davon: finanzielle Kapitalgesellschaften				
FGST	Standardised guarantees - total stock of government guarantees	Garanties standard - encours total des garanties accordées par les administrations publiques	Standardisierte Garantien - gesamter Bestand an Garantien des Staatssektors				
TLGCE	Total outstanding liabilities of government controlled entities classified outside general government	Encours total des passifs d'entités sous le contrôle d'administrations publiques non incluses dans le secteur des administrations publiques	Bestand an Verbindlichkeiten von Einheiten, die nicht im Sektor Staat klassifiziert sind, aber vom Staatssektor kontrolliert werden				
LIFA	Total outstanding liabilities of government controlled entities classified outside general government, of which: liabilities of units involved in financial activities	Encours total des passifs d'entités sous le contrôle d'administrations publiques non incluses dans le secteur des administrations publiques, dont passifs des sociétés financières publiques	Bestand an Verbindlichkeiten von Einheiten, die nicht im Sektor Staat klassifiziert sind, aber vom Staatssektor kontrolliert werden, davon Einheiten mit finanziellen Aktivitäten				
LIOA	Total outstanding liabilities of government controlled entities classified outside general government, of which: liabilities of units involved in other activities	Encours total des passifs d'entités sous le contrôle d'administrations publiques non incluses dans le secteur des administrations publiques, dont passifs des sociétés non financières publiques	Bestand an Verbindlichkeiten von Einheiten, die nicht im Sektor Staat klassifiziert sind, aber vom Staatssektor kontrolliert werden, davon Einheiten mit anderen Aktivitäten				
LIOALM	Total outstanding liabilities of government controlled entities classified outside general government, of which: liabilities of units involved in other activities, of which loss-making non-financial units	Encours total des passifs d'entités sous le contrôle d'administrations publiques non incluses dans le secteur des administrations publiques, dont passifs des sociétés non financières publiques déficitaires	Bestand an Verbindlichkeiten von Einheiten, die nicht im Sektor Staat klassifiziert sind, aber vom Staatssektor kontrolliert werden, davon nicht-finanzielle Einheiten mit Verlusten				
OFF_PPP	Adjusted capital value of off-balance private-public partnerships (PPPs)	Valeur ajustée des actifs pour les partenariats public-privé hors bilan des administrations publiques	Angepasster Kapitalwert öffentlich-private Partnerschaften (ÖPP/PPP), die nicht in der Bilanz des Staatssektors inkludiert sind				
F4M2	Stock of non-performing loans provided by government	Encours des prêts improductifs octroyés par les administrations publiques	Bestand an notleidenden Krediten des Staatssektors				
PPP_EU27_2020	Purchasing power parities (EU27_2020=1)	Parités de pouvoir d'achat (EU27_2020=1)	Kaufkraftparitäten (EU27_2020=1)				
PPP_EU28	Purchasing power parities (EU28=1)	Parités du pouvoir d'achat (EU28=1)	Kaufkraftparitäten (EU28=1)				
PPP_EU27_2007	Purchasing power parities (EU27_2007=1)	Parités de pouvoir d'achat (EU27_2007=1)	Kaufkraftparitäten (EU27_2007=1)				
PPP_EU15	Purchasing power parities (EU15=1)	Parités de pouvoir d'achat (EU15=1)	Kaufkraftparitäten (EU15=1)				
PLI_EU27_2020	Price level indices (EU27_2020=100)	Indices de niveau des prix (EU27_2020=100)	Preisniveauindizes (EU27_2020=100)				
PLI_EU28	Price level indices (EU28=100)	Indices de niveau des prix (EU28=100)	Preisniveauindizes (EU28=100)				
PLI_EU27_2007	Price level indices (EU27_2007=100)	Indices de niveau des prix (EU27_2007=100)	Preisniveauindizes (EU27_2007=100)				
PLI_EU15	Price level indices (EU15=100)	Indices de niveau des prix (EU15=100)	Preisniveauindizes (EU15=100)				
EXP_NAC	Nominal expenditure in national currency	Dépenses nominales en monnaie nationale	Nominale Ausgaben in Landeswährungseinheiten				
EXP_NAC_PC_GDP	Nominal expenditure as a percentage of GDP (GDP=100)	Dépenses nominales en pourcentage du PIB (PIB=100)	Nominale Ausgaben in BIP-Prozentpunkten (BIP=100)				
EXP_EUR	Nominal expenditure (in euro)	Dépenses nominales (en Euro)	Nominale Ausgaben (Euro)				
EXP_EUR_HAB	Nominal expenditure per inhabitant (in euro)	Dépenses nominales par habitant (en Euro)	Nominale Pro-Kopf-Ausgaben (Euro)				
EXP_PPS_EU27_2020	Real expenditure (in PPS_EU27_2020)	Dépenses réelles (en PPS_EU27_2020)	Reale Ausgaben (PPS_EU27_2020)				
EXP_PPS_EU28	Real expenditure (in PPS_EU28)	Dépenses réelles (en PPS_EU28)	Reale Ausgaben (PPS_EU28)				
EXP_PPS_EU27_2007	Real expenditure (in PPS_EU27_2007)	Dépenses réelles (en PPS_EU27_2007)	Reale Ausgaben (PPS_EU27_2007)				
EXP_PPS_EU15	Real expenditure (in PPS_EU15)	Dépenses réelles (en PPS_EU15)	Reale Ausgaben (PPS_EU15)				
EXP_PPS_EU27_2020_HAB	Real expenditure per capita (in PPS_EU27_2020)	Dépenses réelles par habitant  (en PPS_EU27_2020)	Reale Ausgaben Pro-Kopf (PPS_EU27_2020)				
EXP_PPS_EU28_HAB	Real expenditure per capita (in PPS_EU28)	Dépenses réelles par habitant (en PPS_EU28)	Reale Ausgaben Pro-Kopf (PPS_EU28)				
EXP_PPS_EU27_2007_HAB	Real expenditure per capita (in PPS_EU27_2007)	Dépenses réelles par habitant  (en PPS_EU27_2007)	Reale Ausgaben Pro-Kopf (PPS_EU27_2007)				
EXP_PPS_EU15_HAB	Real expenditure per capita (in PPS_EU15)	Dépenses réelles par habitant (en PPS_EU15)	Reale Ausgaben Pro-Kopf (PPS_EU15)				
VI_PPS_EU27_2020_HAB	Volume indices of real expenditure per capita (in PPS_EU27_2020=100)	Indices de volume des dépenses réelles par habitant (en PPS_EU27_2020=100)	Volumenindex der realen Pro-Kopf Ausgaben ( in PPS_EU27_2020=100)				
VI_PPS_EU28_HAB	Volume indices of real expenditure per capita (in PPS_EU28=100)	Indices de volume des dépenses réelles par habitant (en PPS_EU28=100)	Volumenindex der realen Pro-Kopf Ausgaben (in PPS_EU28=100)				
VI_PPS_EU27_2007_HAB	Volume indices of real expenditure per capita (in PPS_EU27_2007=100)	Indices de volume des dépenses réelles par habitant (en PPS_EU27_2007=100)	Volumenindex der realen Pro-Kopf Ausgaben in (PPS_EU27_2007=100)				
VI_PPS_EU15_HAB	Volume indices of real expenditure per capita (in PPS_EU15=100)	Indices de volume des dépenses réelles par habitant (en PPS_EU15=100)	Volumenindex der realen Pro-Kopf Ausgaben (in PPS_EU15=100)				
CV_VI_HAB	Coefficient of variation of volume indices of expenditure per capita (percentage)	Coefficient de variation des indices de volume des dépenses par habitant (pourcentage)	Variationskoeffizient der Volumenindizes der Pro-Kopf Ausgaben (Prozent)				
GD_NAC	General government gross debt, of which in national currency	Dette brute des administrations publiques, dont en monnaie nationale	Öffentlicher Schuldenstand (Bruttoschuldenstand des Staatssektors), davon in Landeswährung				
GD_FOR	General government gross debt, of which in foreign currency	Dette brute des administrations publiques, dont en monnaie étrangère	Öffentlicher Schuldenstand (Bruttoschulden des Staates), davon in ausländischer Währung				
GD_S1	General government gross debt, of which domestic counterparts	Dette brute des administrations publiques, dont les contreparties nationales	Öffentlicher Schuldenstand (Bruttoverschuldung des Staates), davon inländische Pendants				
GD_S2	General government gross debt, of which non-domestic counterparts	Dette brute des administrations publiques, dont les contreparties exterieures	Öffentlicher Schuldenstand (Bruttoverschuldung des Staates), davon nicht-einheimische Pendants				
GD_LL	General government gross debt, long-term original maturity, of which payment due in more than one year	Dette brute des administrations publiques,échéance initiale à long terme, dont un paiement dû dans plus d'un an	Öffentlicher Schuldenstand (Bruttoschulden des Staates), langfristige Ursprungslaufzeit, deren Zahlung in mehr als einem Jahr fällig ist				
GD_TS	General government gross debt, short-term remaining maturity	Dette brute des administrations publiques, échéance résiduelle à court terme	Öffentlicher Schuldenstand (Bruttoschulden des Staates), kurzfristige verbleibende Laufzeit				
SRG_S14	Gross household saving rate (B8G/(B6G+D8Net)*100)	Taux d'épargne brut des ménages (B8G/(B6G+D8Net)*100)	Brutto-Sparquote der Haushalte (B8G/(B6G+D8Netto)*100)				
IRG_S14	Gross investment rate of households (P51G/(B6G+D8Net)*100)	Taux d'investissement (brut) des ménages (P51G/(B6G+D8Net)*100)	Brutto-Investitionsrate der Haushalte (P51G/(B6G+D8Net)*100)				
P51G_RAT_GDP_S14	Households investment to GDP ratio (S14_S15_P51/B1GQ*100)	Ratio Investissement des ménages/PIB au prix du marché (S14_S15_P51/B1GQ*100)	Ratio Investitionen der Haushalte/BIP zu Marktpreisen (S14_S15_P51/B1GQ*100)				
DIR_S14	Gross debt-to-income ratio of households: (AF4, liab)/(B6G+D8net)	Taux d'endettement brut des ménages: (AF4, liab)/(B6G+D8net)	Brutto-Schulden-Einkommensquotient der privaten Haushalte: (AF4, liab)/(B6G+D8net)				
NFW_S14	Household net financial assets ratio (BF90/(B6G+D8net)	Taux des actifs financiers nets des ménages (BF90/(B6G+D8net))	Nettogeldvermögensquote der Haushalte (BF90/(B6G+D8net))				
TAXABT	Tax abatements	Abattements fiscaux	Steuerermäßigungen				
EMP_HAB	Total employment (employed persons) per capita	Emploi total (personnes ayant un emploi) par habitant	Erwerbstätigkeit insgesamt (erwerbstätige Personen) pro Kopf				
HW_HAB	Hours worked per capita	Heures travaillées par habitant	Arbeitsstunden pro Kopf				
HW_EMP	Hours worked per employed person	Heures travaillées par personnes ayant un emploi	Arbeitsstunden pro erwerbstätiger Person				
NCS_EMP	Net fixed assets per employed person	Actifs fixes (net) par personne ayant un emploi	Nettoanlagevermögen pro erwerbstätiger Person				
NCS_HW	Net fixed assets per hour worked	Actifs fixes (net) par heure travaillée	Nettoanlagevermögen pro Arbeitsstunde				
GVA_NCS	Gross value added per unit of net fixed assets	Valeur ajoutée brute par unité d'actifs fixes (net)	Bruttowertschöpfung pro Einheit Nettoanlagevermögen				
NCS_GVA	Net fixed assets to gross value added	Ratio des actifs fixes (net) sur la valeur ajoutée brute	Verhältnis Nettoanlagevermögen zu Bruttowertschöpfung				
OTH	Other	Autre	Andere				
NAP	Not applicable	Non applicable	Nicht anwendbar				
